timestamp,user_page,search_query,intent,result1,result1_answer,result1_explanation,result2,result2_answer,result2_explanation,result3,result3_answer,result3_explanation,result4,result4_answer,result4_explanation,result5,result5_answer,result5_explanation,comments,worker_id
10/25/2014 18:43:01,http://www.pinterest.com/mommavi1181,Halloween Decor Homemade,I was looking for some fun ideas for Halloween decorations that my kids and I could make for around the house. I also thought I might find some Halloween recipes in the process.,http://www.pinterest.com/pin/255579347577314817/,There's a good chance,This is a good search result that my family and I might try. My 6 year old has been looking up dry ice projects on YouTube and has been begging me to get some dry ice so we can try one out. This would be a fun project to try.,http://www.pinterest.com/pin/405253666443472397/,Definitely not,I don't have an old dollhouse I want to turn into a haunted house. Also this requires a lot more creativity and work than what I want to do,http://www.pinterest.com/pin/AXfSwyf5OSoFmOFbpz9JwOl1Qz0r5OWx0mrE546yiZnRjypmnqh8du5RfugaexjalQ/,Probably not,"This sounds like a good, festive recipe that would be great for Halloween. I would probably not use it though because I am not looking for recipes with Almond milk",http://www.pinterest.com/pin/465207836481280606/,Definitely,This looks like it has a ton of good ideas for homemade decorations. I love how it is a much classier Halloween design then you traditionally see. I would definitely try some of these projects,https://www.pinterest.com/pin/433471532858178301/,Probably not,This is not really what I am looking for. It looks like projects that require a lot of work and are not the style I would want to go for (I hate mice so the little mice cut outs would not work for me).,,A3UC45GKCAZ7ZU
10/25/2014 18:49:34,http://www.pinterest.com/barbjkelly/,gingerbread cookies,"I was looking for a recipe for gingerbread cookies.  I had made some gingerbread cookies last year and was looking for the same recipe.  I have a Board named ""Tried it loved it"" and I knew the recipe was on that Board. I find it easier to do a search than to go through my Pins visually.",http://www.pinterest.com/pin/350928995937989298/,Probably not,The result wasn't necessarily a bad one but after clicking on it (to get to the actual recipe) I would have decided not to make it. The main reason I wouldn't make it is that the recipe only called for 1/4 C of molasses and I knew I wanted more molasses taste in my cookies.  ,http://www.pinterest.com/pin/139259813449395760/,Probably not,"I probably wouldn't make this cookie because of the same reason, not enough molasses.  I probably would have pinned this recipe because the cookies are really pretty and I would use their ideas for decorating the gingerbread cookies.",http://www.pinterest.com/pin/AfEGPipdYW6tg9W9asu-Dg5LZnynbRpQXzdwI9Zng7co-kusSKGhZEPf6mbGhCO4RA/,Definitely not,This Pin is completely irrelevant. It is a Pin about food blogs. I am not sure why Pinterest returned this result.  Maybe if I searched the link there might be something about gingerbread cookies in the post but I would not go further looking for it. ,http://www.pinterest.com/pin/140526450846601754/,Definitely not,"This Pin is for Gingerbread Cookie Bars. While I can see why it was included in the results, I am not interested now (or probably ever) in making these so I wouldn't save this Pin.",http://www.pinterest.com/pin/346284658822056223/,Definitely not,I would not make these cookies because they don't have enough molasses in the recipe and the spices aren't what I want in my cookies. These cookies are cute so I might copy the decorating but I wouldn't make the cookies or save the Pin.,"I wasn't sure if you wanted the link to the Pin or to the info behind the Pin. I gave you the url for the Pin. I hope that is okay.
Thanks!
Barb", AC5LU9TF9CTK9
10/25/2014 19:03:34,http://www.pinterest.com/spamgirl,halloween treats,I was trying to find cute halloween treats which were different than the normal grape eyeballs or Clamato blood shots.I wanted cute things that would make me look like a talented artist and chef. It was a very specific search.,http://www.pinterest.com/pin/487022147177389309/,Probably not,"These look to be too simple, they seem to be just cookies shaped like peanuts or something. They're actually kind of weird, and not in a nice hallowe'en creepy way. They're boring, plain and not what I was looking for.",http://www.pinterest.com/pin/157555686939661261/,Probably not,"They're kind of ugly, and I know they'll require some icing skill I don't have. I also have a thing against eating anything green. I don't want to have to buy fancy stuff to make it either, like a lollipop stick.",http://www.pinterest.com/pin/149463281356860300/,Definitely,"The evil donut is freakin' cute. I also love, love, love the pumpkin pretzels. These are exactly what I wanted - different, adorable, potentially easy to make, and tasty. I also love that there are 16 different treats here, not just one.",http://www.pinterest.com/pin/131730357826225256/,There's a good chance,"These little spiders are very cute and appear easy to make. I also like salty and sweet things together, so they'd be tasty, too. I think they tick all the right boxes, but I may never have gotten past the last one to click on this one.",http://www.pinterest.com/pin/393290979932744313/,Definitely,"These are so perfect! They're easy, tasty and are something you wouldn't expect. I cannot believe how realistic they look, too! On top of that, I can find pretzel sticks in different sizes and make all sizes of bonus.",,A1UQ4029LCS7
10/25/2014 19:14:14,http://www.pinterest.com/delphdreamer/,flea market gardening,"I was looking for garden decorating ideas to reuse stuff which is too old around my house. I am big on reusing items, giving them a new purpose, avoid sending stuff to landfills. ",http://www.pinterest.com/pin/560416747352011673/,There's a good chance,I'm actually really interested in this project. It might be in my to do list - a long term one. I just need to gather the ingredients and wait for the weather to warm enough for these to be successful. ,http://www.pinterest.com/pin/456833955924877095/,Maybe,I don't have an immediate plan for the idea. It's in the wide range of what I was looking for but not exactly a home run. I have more wood things to work with than metal/glass. I'm sure sometimes down the road though this idea would come in handy.,http://www.pinterest.com/pin/410320216022592578/,Definitely,This I could do right away. I just need a little paint to make them pop. I've got quite a few planks that are already painted so it would be perfect for something like this. I found what to do tomorrow.,http://www.pinterest.com/pin/384635624397757670/,There's a good chance,Sooo very cool. I love it. I'd better start collecting more used tools - I just got into the habit of picking up junk like that and I'd better start doing something with it before husband gets on to me. ,http://www.pinterest.com/pin/165999936236375409/,There's a good chance,Brilliant use of an old funnel! I don't have one but I know I won't be able to stop myself when I go thrift shopping with my friends. ,,A2FNF3DVOCLJX4
10/26/2014 7:37:56,http://www.pinterest.com/carebearTx70/,beef crockpot,"I primarily use Pinterest to find new recipes to feed the family. There are a few food allergies/hates that I have to work around, and I get sick of us eating the same thing over and over. With winter coming up I'm focusing my searches on slow cooker recipes and soups.",http://www.pinterest.com/pin/460070918156044826/,Definitely,"It covers the search I made ""beef crockpot"" but it returned 7 recipes which would cover a whole weeks worth of meals. This means there is a greater chance of there being at least one recipe in the result that I can use.",http://www.pinterest.com/pin/390968811374815293/,Maybe,"This result gives me 20 ground beef recipes for the slow cooker. I have never considered cooking ground beef TBH, in my mind I was looking for stews or casseroles that use beef chunks. I would have a look, however, to see if there was anything that really interested me.",http://www.pinterest.com/pin/561542647258209277/,Definitely,The photo associated with the pin is perfectly delicious. There are a lot of different recipes that I already know that I could incorporate this type of beef into so I would definitely look into it further.,http://www.pinterest.com/pin/340162578079276623/,Definitely not,The blurb for this recipe shows the ingredients and one of those is cream of celery soup. Since one of my kids refuses to eat celery I would pass this one by.,http://www.pinterest.com/pin/566820303073189588/,Maybe,"This looks like a nice lazy recipe that my children would like as it contains tator tots. I try to avoid too much cheese as my youngest is lactose intolerant. I would probably take a look at the recipe to see how much ""bad"" ingredients is in it before I decide whether or not to use it.",,A3GOI327COFGY5
10/26/2014 8:07:13,http://www.pinterest.com/sarabolton3/,halloween snack,"I was looking for some snack ideas for a children's Halloween party that I am going to next week. I needed something that was salty, because everyone else had already claimed all of the sweet treats. ",http://www.disneybaby.com/blog/10-healthy-halloween-snack-ideas/,Definitely not,"It was really basic, I didn't think that using a marker to draw a jack-o-lantern face on an orange was creative enough to really consider it a fun snack.",http://www.listotic.com/64-non-candy-halloween-snack-ideas/11/,Definitely not,"This one was too over the top for a snack. It didn't seem appropriate for a children's party, more like an adults party. ",http://www.pinterest.com/pin/529102656195890354/,Definitely not,"This one was a sweet treat, and I am looking for savory treats. I also thought it seemed too messy for kids.",http://www.pinterest.com/pin/516014069778755264/,Definitely not,"This one is fruit, so I didn't want it. Also, it seemed like everyone would recognize that from pinterest, and I didn't want to just seem like I picked the first thing I saw on pinterest. ",http://www.pinterest.com/pin/506443920570957293/,Maybe,"This one is some salty treats, so this would be much more ideal for a kids snack, and it looked easy to make and serve. ",,A31A4YKVSOYRVS
10/26/2014 9:13:29,http://www.pinterest.com/jessicakain/,john deere cake,I looked up the cake because I had a friend ask me to make a John Deere themed cake for her son. She told me she liked the ones showing up on Pinterest so I checked them. ,http://www.pinterest.com/pin/141089400801844796/,Definitely,"The result is absolutely one that I clicked on before. However, the result link leads to a spammy YouTube video about diets. So the bottom line is that it is a high quality photo of a very well done John Deere cake as long as I don't click through to the link. ",http://www.pinterest.com/pin/559783428657192532/,Definitely,This is a good result because it's not a cake but it fits into a John Deere birthday party. I was able to pass the idea along to my friend for her to have other things to eat beside the cake at the party.,http://www.pinterest.com/pin/ARynoeiuej03tMp2JyUU4apNS9MuqwEqDsiwKipvUWPxO52A_UUUs1Wm4DvbL5yT-A/,Definitely not,These are John Deere party favor boxes. It is of no use to me because it is not a cake or a crafty idea. It is a product I would have to order.,http://www.pinterest.com/pin/81698180715871965/,Definitely,This is a John Deere cake without the icing so it was VERY helpful in my search. It showed how to build a tractor with a cake and donuts. The link clicks through to more John Deere cakes and is actually overall very helpful. ,http://www.pinterest.com/pin/439804719830367793/,Probably not,"This is green and yellow cake pops in a fake hay bale, not a cake. I did not see this pin before and I do not want to do cake pops. This is a relevant result but not particularly useful to me. ",,A2Q009DS6B04P5
10/26/2014 9:53:06,http://www.pinterest.com/ashleyizzo/,kitchen makeover,I was looking for a Pin I had previously seen to send to a friend who is currently re-doing her kitchen. The kitchen had the same type of light fixture that she had and I wanted to show her how they had changed/updated it.,http://www.pinterest.com/pin/98657048060098664/,Definitely not,"This is a good example of a kitchen makeover, but it wasn't what I was looking for. It didn't contain the information on the light fixture that I was searching for.",http://www.pinterest.com/pin/281897257900911164/,Definitely,I did click on this one to see if it had the information that I needed. It didn't have the right light fixture.,http://www.pinterest.com/pin/11047961561432906/,Definitely not,This one wasn't even close to what I was searching for. It didn't have the same style makeover I wanted to find.,http://www.pinterest.com/pin/428756826996554297/,Definitely not,This one was just about granite countertops. It did not have what I was looking for.,http://www.pinterest.com/pin/441845413414503841/,Definitely,"I did click on this one, but it did not have the light fixture redo that I was looking for. ",,AA8NOYG0AXRJO
10/26/2014 10:03:39,http://www.pinterest.com/mommavi1181/,crochet patterns,I love to crochet so am always looking for new patterns. I like to do a general search on patterns and see if anything pops out at me.,http://www.pinterest.com/pin/413838653233130977/,Maybe,These are really cute boots. I have never crocheted boots before but have been wanting to try and these would be good.,http://www.pinterest.com/pin/AQBN381oyTQfiBGe1zfK1eiqmy-KF6eVy7nZ3VFJr8oG3U6ryiCQZiy1LaAOPC0vgA/,Probably not,This is a cute little pattern however I do not think it is something my kids would like. Also it looks a little advanced as I do not do many clothing items,http://www.pinterest.com/pin/473370610806130555/,Probably not,"This pin has several cute shoe patterns that look pretty easy. However, none of them really jump out at me. I much prefer the boots in the first pin",http://www.pinterest.com/pin/364650901053101624/,There's a good chance,I love a good scarf and these are really cute. I like all the different colors showcased and the pattern looks pretty easy,www.pinterest.com/pin/364650901053101624/,Definitely not,This is definitely not what I was looking for. I don't typically crochet decor for seasons because it can be so time consuming and after Halloween/fall it would need to be put up. I prefer to crochet things I can use more.,,A3UC45GKCAZ7ZU
10/26/2014 10:04:32,http://www.pinterest.com/BunnyFlavored/,3-8-1 candle littleblackbag,I was trying to find a particular photo of a candle made by a company called 3-8-1 candles that a company (now defunct) called Little Black Bag used to sell. Because Little Black Bag's website is now gone and I wanted to find all the scents they used to sell to find the exact name of the one that I liked so much in the past. ,http://www.pinterest.com/pin/309481805616564456/,Definitely,"I chose ""Definitely"" because is a 381 candle photo from Little Black Bag. However, it's not the exact scent I was looking for. That's not the fault of the search though because I didn't put in the same of the exact candle scent.  I believe I have the first result pinned in my ""1 secret misc"" board, which is a private board. ",http://www.pinterest.com/pin/190136415491291720/,Definitely,"The second pin that came up is the exact candle scent that I had previously bought and wanted to find. So, perfect result. It found the candle for me without me even having to put in the name of the candle's scent. ",http://www.pinterest.com/pin/190136415491291690/,Definitely,"It's a good result because it's a 381 candle that was previously sold by Little Black bag. It's not the candle that I wanted to know the name of, but again, that's not the fault of the search because I didn't put the name of the scent into the search query. I have this pin already pinned to one of my boards. ",http://www.pinterest.com/pin/30258628719384268/,Definitely,"Yes, it's a good result. It's a photo of a candle that Little Black Bag sold previously from 381 candles. It is not the exact candle photo that I was looking for (I found it with result #2), but I do know I have this result pinned in my mass number of pins in a private board. :)",http://www.pinterest.com/pin/190136415491291747/,Definitely,"Yes, this one is a good result as well. It is a candle from 381 candles. Though, it is a candle scent that came up in pin #4 as well. Not a problem, I want to see all the results, whether they were from Little Black Bag or from someone else re-pinning Little Black Bag's boards. ","Thanks Edwin! I miss working for you! I am one of the mods over at Turkernation and was doing (I still am) the ""Jack Stone"" hits with the qual you gave me long ago. I was not in the chat room when the mods received the new qual for new hits that you do under a different name (after leaving Twitter.) So if you have any room for me, I would LOVE to have the qual on the new hits. You were always so kind to us with the Jack Stone hits and were so responsive -- more than any other requester. Loved it! My worker ID again:  AK2C9AX5QJWUU

Thank you! Julia
Email: tiny_teddi@hotmail.com",AK2C9AX5QJWUU
